Route,Airline,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,TotalDelays
Kona International Airport at Keahole - Los Angeles International Airport,United Air Lines Inc.,1397,0,226,0,1445,3068
Kona International Airport at Keahole - Phoenix Sky Harbor International Airport,US Airways Inc.,681,0,133,0,0,814
Kona International Airport at Keahole - San Francisco International Airport,United Air Lines Inc.,2936,0,787,0,3280,7003
La Crosse Regional Airport - Chicago O'Hare International Airport,American Eagle Airlines Inc.,2033,40,4751,0,5813,12637
LaGuardia Airport (Marine Air Terminal) - Bishop International Airport,American Eagle Airlines Inc.,216,104,133,0,1461,1914
LaGuardia Airport (Marine Air Terminal) - Charlotte Douglas International Airport,American Eagle Airlines Inc.,3130,167,3665,0,6340,13302
LaGuardia Airport (Marine Air Terminal) - Charlotte Douglas International Airport,US Airways Inc.,1550,137,2261,0,7022,10970
LaGuardia Airport (Marine Air Terminal) - Cherry Capital Airport,American Eagle Airlines Inc.,0,0,8,0,9,17
LaGuardia Airport (Marine Air Terminal) - Chicago O'Hare International Airport,American Airlines Inc.,6620,1305,32455,0,29660,70040
LaGuardia Airport (Marine Air Terminal) - Chicago O'Hare International Airport,United Air Lines Inc.,4988,1482,23845,0,33836,64151
LaGuardia Airport (Marine Air Terminal) - Cincinnati/Northern Kentucky International Airport,American Eagle Airlines Inc.,1193,214,2051,0,3194,6652
LaGuardia Airport (Marine Air Terminal) - Cincinnati/Northern Kentucky International Airport,Delta Air Lines Inc.,1874,120,1068,0,2028,5090
LaGuardia Airport (Marine Air Terminal) - Cleveland Hopkins International Airport,American Eagle Airlines Inc.,2967,444,2649,0,5875,11935
LaGuardia Airport (Marine Air Terminal) - Columbia Metropolitan Airport,Atlantic Southeast Airlines,902,4500,1716,0,1040,8158
LaGuardia Airport (Marine Air Terminal) - Cyril E. King Airport,US Airways Inc.,113,0,17,0,0,130
LaGuardia Airport (Marine Air Terminal) - Dallas/Fort Worth International Airport,American Airlines Inc.,7634,2032,10808,0,21731,42205
LaGuardia Airport (Marine Air Terminal) - Dane County Regional Airport,American Eagle Airlines Inc.,496,25,451,0,852,1824
LaGuardia Airport (Marine Air Terminal) - Denver International Airport,Frontier Airlines Inc.,2587,520,4138,131,3486,10862
LaGuardia Airport (Marine Air Terminal) - Denver International Airport,United Air Lines Inc.,3046,1054,3452,0,11764,19316
LaGuardia Airport (Marine Air Terminal) - Des Moines International Airport,American Eagle Airlines Inc.,1049,3,554,0,1467,3073
LaGuardia Airport (Marine Air Terminal) - Detroit Metropolitan Airport,American Eagle Airlines Inc.,2901,1150,2436,0,6973,13460
LaGuardia Airport (Marine Air Terminal) - Eagle County Regional Airport,American Airlines Inc.,66,30,73,0,77,246
LaGuardia Airport (Marine Air Terminal) - Fort Lauderdale-Hollywood International Airport,American Airlines Inc.,433,202,249,0,560,1444
LaGuardia Airport (Marine Air Terminal) - Fort Lauderdale-Hollywood International Airport,Delta Air Lines Inc.,3564,431,1827,0,4111,9933
LaGuardia Airport (Marine Air Terminal) - Fort Lauderdale-Hollywood International Airport,JetBlue Airways,2206,44,2910,11,14794,19965
LaGuardia Airport (Marine Air Terminal) - Gen. Edward Lawrence Logan International Airport,American Eagle Airlines Inc.,4061,431,4345,0,11585,20422
LaGuardia Airport (Marine Air Terminal) - Gen. Edward Lawrence Logan International Airport,Delta Air Lines Inc.,1231,455,1968,0,2528,6182
LaGuardia Airport (Marine Air Terminal) - Gen. Edward Lawrence Logan International Airport,US Airways Inc.,930,204,1806,0,6985,9925
LaGuardia Airport (Marine Air Terminal) - Hartsfield-Jackson Atlanta International Airport,American Airlines Inc.,2419,264,1792,0,5162,9637
LaGuardia Airport (Marine Air Terminal) - Hartsfield-Jackson Atlanta International Airport,Delta Air Lines Inc.,4896,450,7283,0,12939,25568
LaGuardia Airport (Marine Air Terminal) - Louis Armstrong New Orleans International Airport,American Airlines Inc.,536,18,234,0,22,810
LaGuardia Airport (Marine Air Terminal) - Louis Armstrong New Orleans International Airport,Delta Air Lines Inc.,257,127,256,0,502,1142
LaGuardia Airport (Marine Air Terminal) - Louisville International Airport (Standiford Field),American Eagle Airlines Inc.,1732,329,1567,0,4087,7715
LaGuardia Airport (Marine Air Terminal) - Memphis International Airport,American Eagle Airlines Inc.,1584,161,1822,0,3941,7508
LaGuardia Airport (Marine Air Terminal) - Miami International Airport,American Airlines Inc.,6246,1576,6559,0,19726,34107
LaGuardia Airport (Marine Air Terminal) - Minneapolis-Saint Paul International Airport,American Airlines Inc.,610,127,478,0,1901,3116
LaGuardia Airport (Marine Air Terminal) - Nashville International Airport,American Airlines Inc.,2064,335,1816,0,4449,8664
LaGuardia Airport (Marine Air Terminal) - Northwest Arkansas Regional Airport,American Eagle Airlines Inc.,1024,446,1200,0,3514,6184
LaGuardia Airport (Marine Air Terminal) - Orlando International Airport,American Airlines Inc.,1637,172,1685,0,5763,9257
LaGuardia Airport (Marine Air Terminal) - Orlando International Airport,Delta Air Lines Inc.,1426,54,1506,0,5338,8324
LaGuardia Airport (Marine Air Terminal) - Orlando International Airport,JetBlue Airways,459,0,557,0,3504,4520
LaGuardia Airport (Marine Air Terminal) - Palm Beach International Airport,American Airlines Inc.,296,27,187,10,0,520
LaGuardia Airport (Marine Air Terminal) - Palm Beach International Airport,Delta Air Lines Inc.,1386,164,1862,0,5802,9214
LaGuardia Airport (Marine Air Terminal) - Palm Beach International Airport,JetBlue Airways,871,47,1183,0,5018,7119
LaGuardia Airport (Marine Air Terminal) - Pittsburgh International Airport,American Eagle Airlines Inc.,1137,81,782,0,1692,3692
LaGuardia Airport (Marine Air Terminal) - Pittsburgh International Airport,US Airways Inc.,201,220,467,0,1629,2517
LaGuardia Airport (Marine Air Terminal) - Port Columbus International Airport,American Eagle Airlines Inc.,3341,706,2574,0,9670,16291
LaGuardia Airport (Marine Air Terminal) - Raleigh-Durham International Airport,American Airlines Inc.,621,185,826,0,2306,3938
LaGuardia Airport (Marine Air Terminal) - Raleigh-Durham International Airport,American Eagle Airlines Inc.,4904,215,2787,0,9183,17089
LaGuardia Airport (Marine Air Terminal) - Ronald Reagan Washington National Airport,American Eagle Airlines Inc.,4306,660,2538,0,7532,15036
LaGuardia Airport (Marine Air Terminal) - Ronald Reagan Washington National Airport,Delta Air Lines Inc.,1479,380,1707,0,1970,5536
LaGuardia Airport (Marine Air Terminal) - Ronald Reagan Washington National Airport,US Airways Inc.,540,509,2030,0,7333,10412
LaGuardia Airport (Marine Air Terminal) - Sarasota-Bradenton International Airport,Atlantic Southeast Airlines,941,1010,726,0,221,2898
LaGuardia Airport (Marine Air Terminal) - Southwest Florida International Airport,Delta Air Lines Inc.,675,0,241,0,339,1255
LaGuardia Airport (Marine Air Terminal) - St. Louis International Airport at Lambert Field,American Airlines Inc.,1755,164,1465,0,5461,8845
LaGuardia Airport (Marine Air Terminal) - Tampa International Airport,American Airlines Inc.,797,64,780,0,2404,4045
LaGuardia Airport (Marine Air Terminal) - Tampa International Airport,Delta Air Lines Inc.,818,109,633,0,3250,4810
LaGuardia Airport (Marine Air Terminal) - Washington Dulles International Airport,United Air Lines Inc.,341,211,317,0,3224,4093
LaGuardia Airport (Marine Air Terminal) - Yampa Valley Airport (Yampa Valley Regional),Delta Air Lines Inc.,233,0,38,0,0,271
Lafayette Regional Airport - Dallas/Fort Worth International Airport,American Eagle Airlines Inc.,3360,1782,1158,0,4197,10497
Lafayette Regional Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,3127,1145,1471,0,155,5898
Laredo International Airport - Dallas/Fort Worth International Airport,American Eagle Airlines Inc.,2483,346,1723,0,4902,9454
Lawton-Fort Sill Regional Airport - Dallas/Fort Worth International Airport,American Eagle Airlines Inc.,2697,2051,939,0,4764,10451
Lawton-Fort Sill Regional Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,898,456,124,0,32,1510
Lehigh Valley International Airport - Charlotte Douglas International Airport,US Airways Inc.,271,94,63,0,0,428
Lehigh Valley International Airport - Chicago O'Hare International Airport,Skywest Airlines Inc.,232,464,4161,0,1053,5910
Lehigh Valley International Airport - Cincinnati/Northern Kentucky International Airport,Atlantic Southeast Airlines,25,70,15,0,0,110
Lehigh Valley International Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,3009,811,1204,20,764,5808
Lewiston-Nez Perce County Airport - Salt Lake City International Airport,Skywest Airlines Inc.,179,18,25,0,493,715
Lihue Airport - Denver International Airport,United Air Lines Inc.,109,0,31,0,0,140
Lihue Airport - Honolulu International Airport,Hawaiian Airlines Inc.,863,0,0,0,3799,4662
Lihue Airport - Kahului Airport,Hawaiian Airlines Inc.,159,0,0,0,152,311
Lihue Airport - Los Angeles International Airport,American Airlines Inc.,267,0,522,0,2182,2971
Lihue Airport - Los Angeles International Airport,Delta Air Lines Inc.,13,0,0,0,57,70
Lihue Airport - Los Angeles International Airport,United Air Lines Inc.,524,0,190,0,650,1364
Lihue Airport - Phoenix Sky Harbor International Airport,US Airways Inc.,774,0,104,0,142,1020
Lihue Airport - San Francisco International Airport,United Air Lines Inc.,862,0,134,0,735,1731
Lihue Airport - Seattle-Tacoma International Airport,Alaska Airlines Inc.,273,0,41,0,23,337
Lincoln Airport (Lincoln Municipal) - Chicago O'Hare International Airport,Skywest Airlines Inc.,569,137,15003,0,2027,17736
Lincoln Airport (Lincoln Municipal) - Denver International Airport,Skywest Airlines Inc.,1043,96,544,89,5421,7193
Lincoln Airport (Lincoln Municipal) - General Wayne A. Downing Peoria International Airport,Skywest Airlines Inc.,0,100,0,0,0,100
Long Beach Airport (Daugherty Field) - Austin-Bergstrom International Airport,JetBlue Airways,575,0,0,0,169,744
Long Beach Airport (Daugherty Field) - Chicago O'Hare International Airport,JetBlue Airways,467,0,5774,0,1894,8135
Long Beach Airport (Daugherty Field) - Fort Lauderdale-Hollywood International Airport,JetBlue Airways,276,0,50,0,481,807
Long Beach Airport (Daugherty Field) - Gen. Edward Lawrence Logan International Airport,JetBlue Airways,761,0,213,0,700,1674
Long Beach Airport (Daugherty Field) - John F. Kennedy International Airport (New York International Airport),JetBlue Airways,694,5,2591,0,1824,5114
Long Beach Airport (Daugherty Field) - McCarran International Airport,JetBlue Airways,392,0,1300,0,1106,2798
Long Beach Airport (Daugherty Field) - Norman Y. Mineta San José International Airport,JetBlue Airways,11,0,58,0,21,90
Long Beach Airport (Daugherty Field) - Oakland International Airport,JetBlue Airways,1269,1,443,0,2189,3902
Long Beach Airport (Daugherty Field) - Sacramento International Airport,JetBlue Airways,949,0,295,0,1025,2269
Long Beach Airport (Daugherty Field) - Salt Lake City International Airport,JetBlue Airways,1172,0,329,0,1229,2730
Long Beach Airport (Daugherty Field) - Salt Lake City International Airport,Skywest Airlines Inc.,744,146,40,0,2144,3074
Long Beach Airport (Daugherty Field) - Seattle-Tacoma International Airport,Alaska Airlines Inc.,1246,68,189,48,1141,2692
Long Beach Airport (Daugherty Field) - Seattle-Tacoma International Airport,JetBlue Airways,19,0,35,0,46,100
Long Beach Airport (Daugherty Field) - Washington Dulles International Airport,JetBlue Airways,539,0,113,0,1132,1784
Long Island MacArthur Airport - Baltimore-Washington International Airport,Southwest Airlines Co.,1749,660,1370,13,7062,10854
Long Island MacArthur Airport - Chicago Midway International Airport,Southwest Airlines Co.,1387,979,1630,14,3310,7320
Long Island MacArthur Airport - Fort Lauderdale-Hollywood International Airport,Southwest Airlines Co.,1616,94,565,7,2935,5217
Long Island MacArthur Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,2635,227,369,5,294,3530
Long Island MacArthur Airport - McCarran International Airport,Southwest Airlines Co.,270,108,211,23,0,612
Long Island MacArthur Airport - Orlando International Airport,Southwest Airlines Co.,1686,237,1197,64,4303,7487
Long Island MacArthur Airport - Palm Beach International Airport,Southwest Airlines Co.,964,328,412,63,2294,4061
Long Island MacArthur Airport - Southwest Florida International Airport,Southwest Airlines Co.,407,51,161,0,8,627
Long Island MacArthur Airport - Tampa International Airport,Southwest Airlines Co.,1375,167,644,30,1453,3669
Los Angeles International Airport - Albuquerque International Sunport,Skywest Airlines Inc.,1557,0,30,0,1054,2641
Los Angeles International Airport - Albuquerque International Sunport,Southwest Airlines Co.,1448,0,209,2,5896,7555
Los Angeles International Airport - Aspen-Pitkin County Airport,Skywest Airlines Inc.,1166,117,1,0,871,2155
Los Angeles International Airport - Austin-Bergstrom International Airport,American Airlines Inc.,1300,4,275,0,1811,3390
Los Angeles International Airport - Austin-Bergstrom International Airport,Skywest Airlines Inc.,544,0,0,0,248,792
Los Angeles International Airport - Austin-Bergstrom International Airport,Southwest Airlines Co.,140,0,16,0,340,496
Los Angeles International Airport - Baltimore-Washington International Airport,United Air Lines Inc.,1410,40,538,0,2433,4421
Los Angeles International Airport - Boise Airport (Boise Air Terminal),Skywest Airlines Inc.,951,16,102,0,618,1687
Los Angeles International Airport - Bradley International Airport,Delta Air Lines Inc.,172,0,89,0,260,521
Los Angeles International Airport - Charlotte Douglas International Airport,US Airways Inc.,2699,0,445,0,1322,4466
Los Angeles International Airport - Chicago Midway International Airport,Southwest Airlines Co.,2335,385,1357,91,5428,9596
Los Angeles International Airport - Chicago O'Hare International Airport,American Airlines Inc.,8428,162,15708,0,8940,33238
Los Angeles International Airport - Chicago O'Hare International Airport,United Air Lines Inc.,9342,139,9566,0,11696,30743
Los Angeles International Airport - Cincinnati/Northern Kentucky International Airport,Delta Air Lines Inc.,1089,14,197,0,1324,2624
Los Angeles International Airport - City of Colorado Springs Municipal Airport,Skywest Airlines Inc.,2334,0,43,0,1447,3824
Los Angeles International Airport - Dallas/Fort Worth International Airport,American Airlines Inc.,15639,398,3316,61,11006,30420
Los Angeles International Airport - Dallas/Fort Worth International Airport,Skywest Airlines Inc.,1655,29,457,0,271,2412
Los Angeles International Airport - Denver International Airport,American Airlines Inc.,1934,28,407,0,5105,7474
Los Angeles International Airport - Denver International Airport,Frontier Airlines Inc.,1849,57,2759,0,3848,8513
Los Angeles International Airport - Denver International Airport,Southwest Airlines Co.,739,0,388,0,2356,3483
Los Angeles International Airport - Denver International Airport,United Air Lines Inc.,5674,222,1351,0,15543,22790
Los Angeles International Airport - Des Moines International Airport,Skywest Airlines Inc.,388,0,46,0,91,525
Los Angeles International Airport - Eagle County Regional Airport,American Airlines Inc.,1201,436,284,0,1786,3707
Los Angeles International Airport - El Paso International Airport,Southwest Airlines Co.,480,16,66,4,2686,3252
Los Angeles International Airport - Fort Lauderdale-Hollywood International Airport,American Airlines Inc.,1147,17,485,0,932,2581
Los Angeles International Airport - Fort Lauderdale-Hollywood International Airport,Delta Air Lines Inc.,147,0,78,0,34,259
Los Angeles International Airport - Fresno Yosemite International Airport,American Eagle Airlines Inc.,1736,81,344,0,997,3158
Los Angeles International Airport - Fresno Yosemite International Airport,Skywest Airlines Inc.,4600,408,568,82,3330,8988
Los Angeles International Airport - Gen. Edward Lawrence Logan International Airport,American Airlines Inc.,4654,15,1762,0,3060,9491
Los Angeles International Airport - Gen. Edward Lawrence Logan International Airport,Delta Air Lines Inc.,1026,69,394,0,556,2045
Los Angeles International Airport - Gen. Edward Lawrence Logan International Airport,United Air Lines Inc.,2242,12,809,0,1826,4889
Los Angeles International Airport - Hartsfield-Jackson Atlanta International Airport,Delta Air Lines Inc.,8057,15,2255,0,5596,15923
Los Angeles International Airport - Honolulu International Airport,American Airlines Inc.,7712,34,1068,0,5655,14469
Los Angeles International Airport - Honolulu International Airport,Delta Air Lines Inc.,2249,0,235,0,1974,4458
Los Angeles International Airport - Honolulu International Airport,Hawaiian Airlines Inc.,3737,21,0,0,948,4706
Los Angeles International Airport - Honolulu International Airport,United Air Lines Inc.,4029,112,293,0,5708,10142
Los Angeles International Airport - Jackson Hole Airport,United Air Lines Inc.,6,0,0,0,14,20
Los Angeles International Airport - Jacksonville International Airport,Delta Air Lines Inc.,7,0,0,0,8,15
Los Angeles International Airport - John F. Kennedy International Airport (New York International Airport),American Airlines Inc.,9568,23,11120,12,5797,26520
Los Angeles International Airport - John F. Kennedy International Airport (New York International Airport),Delta Air Lines Inc.,1978,166,2261,45,2101,6551
Los Angeles International Airport - John F. Kennedy International Airport (New York International Airport),United Air Lines Inc.,3689,370,8242,0,4861,17162
Los Angeles International Airport - John Wayne Airport (Orange County Airport),Skywest Airlines Inc.,300,106,0,0,129,535
Los Angeles International Airport - Kahului Airport,American Airlines Inc.,4983,0,534,0,956,6473
Los Angeles International Airport - Kahului Airport,Delta Air Lines Inc.,966,0,69,0,1443,2478
Los Angeles International Airport - Kahului Airport,United Air Lines Inc.,3128,18,262,0,2995,6403
Los Angeles International Airport - Kansas City International Airport,Southwest Airlines Co.,1296,117,345,0,3180,4938
Los Angeles International Airport - Kona International Airport at Keahole,American Airlines Inc.,2108,147,486,0,2626,5367
Los Angeles International Airport - Kona International Airport at Keahole,Delta Air Lines Inc.,17,0,15,0,0,32
Los Angeles International Airport - Kona International Airport at Keahole,United Air Lines Inc.,481,0,94,0,1334,1909
Los Angeles International Airport - Lihue Airport,American Airlines Inc.,2079,0,237,0,894,3210
Los Angeles International Airport - Lihue Airport,Delta Air Lines Inc.,322,0,45,0,0,367
Los Angeles International Airport - Lihue Airport,United Air Lines Inc.,928,0,160,0,850,1938
Los Angeles International Airport - Louis Armstrong New Orleans International Airport,Delta Air Lines Inc.,236,0,87,0,613,936
Los Angeles International Airport - Louis Armstrong New Orleans International Airport,United Air Lines Inc.,1059,0,168,0,3236,4463
Los Angeles International Airport - Luis Muñoz Marín International Airport,American Airlines Inc.,526,68,27,0,177,798
Los Angeles International Airport - McCarran International Airport,American Airlines Inc.,737,0,643,0,1206,2586
Los Angeles International Airport - McCarran International Airport,American Eagle Airlines Inc.,1689,78,1128,0,683,3578
Los Angeles International Airport - McCarran International Airport,Southwest Airlines Co.,4433,1113,4852,25,17645,28068
Los Angeles International Airport - McCarran International Airport,US Airways Inc.,1765,8,1683,22,3486,6964
Los Angeles International Airport - McCarran International Airport,United Air Lines Inc.,5248,127,1966,0,5599,12940
Los Angeles International Airport - McClellan-Palomar Airport,Skywest Airlines Inc.,3506,179,428,0,1472,5585
Los Angeles International Airport - Meadows Field,Skywest Airlines Inc.,2489,388,86,0,1339,4302
Los Angeles International Airport - Miami International Airport,American Airlines Inc.,7032,37,1905,11,3882,12867
Los Angeles International Airport - Monterey Regional Airport (Monterey Peninsula Airport),American Eagle Airlines Inc.,1822,314,281,0,688,3105
Los Angeles International Airport - Monterey Regional Airport (Monterey Peninsula Airport),Skywest Airlines Inc.,5305,220,211,0,1503,7239
Los Angeles International Airport - Montrose Regional Airport,Skywest Airlines Inc.,213,0,0,0,0,213
Los Angeles International Airport - Nashville International Airport,American Airlines Inc.,960,0,195,0,873,2028
Los Angeles International Airport - Nashville International Airport,Southwest Airlines Co.,1203,8,309,29,2621,4170
Los Angeles International Airport - Newark Liberty International Airport,American Airlines Inc.,2620,0,4311,0,1051,7982
Los Angeles International Airport - Newark Liberty International Airport,United Air Lines Inc.,826,151,86,0,784,1847
Los Angeles International Airport - Norman Y. Mineta San José International Airport,American Eagle Airlines Inc.,2196,22,598,0,1368,4184
Los Angeles International Airport - Norman Y. Mineta San José International Airport,Skywest Airlines Inc.,3804,27,479,0,2536,6846
Los Angeles International Airport - Norman Y. Mineta San José International Airport,Southwest Airlines Co.,2986,28,2334,90,19285,24723
Los Angeles International Airport - Northwest Arkansas Regional Airport,American Eagle Airlines Inc.,1441,0,91,0,1974,3506
Los Angeles International Airport - Oakland International Airport,Skywest Airlines Inc.,3102,41,342,15,2314,5814
Los Angeles International Airport - Oakland International Airport,Southwest Airlines Co.,5104,14,2629,142,22354,30243
Los Angeles International Airport - Ontario International Airport,Skywest Airlines Inc.,262,0,0,0,127,389
Los Angeles International Airport - Orlando International Airport,American Airlines Inc.,327,0,156,0,167,650
Los Angeles International Airport - Orlando International Airport,Delta Air Lines Inc.,422,7,139,0,1016,1584
Los Angeles International Airport - Orlando International Airport,United Air Lines Inc.,1864,67,382,0,2398,4711
Los Angeles International Airport - Palm Springs International Airport,Skywest Airlines Inc.,6121,347,674,0,2305,9447
Los Angeles International Airport - Philadelphia International Airport,US Airways Inc.,2195,0,867,0,1482,4544
Los Angeles International Airport - Philadelphia International Airport,United Air Lines Inc.,1311,75,1610,0,1224,4220
Los Angeles International Airport - Phoenix Sky Harbor International Airport,Skywest Airlines Inc.,3468,45,943,0,1545,6001
Los Angeles International Airport - Phoenix Sky Harbor International Airport,Southwest Airlines Co.,4577,86,2433,85,15544,22725
Los Angeles International Airport - Phoenix Sky Harbor International Airport,US Airways Inc.,1772,0,693,47,4381,6893
Los Angeles International Airport - Phoenix Sky Harbor International Airport,United Air Lines Inc.,0,0,0,0,38,38
Los Angeles International Airport - Pittsburgh International Airport,US Airways Inc.,327,0,44,0,693,1064
Los Angeles International Airport - Port Columbus International Airport,Delta Air Lines Inc.,65,0,35,0,149,249
Los Angeles International Airport - Portland International Airport,Alaska Airlines Inc.,1338,0,620,127,1989,4074
Los Angeles International Airport - Portland International Airport,Skywest Airlines Inc.,3054,0,628,126,2108,5916
Los Angeles International Airport - Portland International Airport,United Air Lines Inc.,489,0,146,0,1566,2201
Los Angeles International Airport - Raleigh-Durham International Airport,Delta Air Lines Inc.,42,128,22,0,47,239
Los Angeles International Airport - Reno/Tahoe International Airport,Skywest Airlines Inc.,662,0,0,0,660,1322
Los Angeles International Airport - Reno/Tahoe International Airport,Southwest Airlines Co.,1434,62,478,7,3352,5333
Los Angeles International Airport - Ronald Reagan Washington National Airport,Alaska Airlines Inc.,292,0,274,17,455,1038
Los Angeles International Airport - Sacramento International Airport,Skywest Airlines Inc.,3043,78,412,0,1639,5172
Los Angeles International Airport - Sacramento International Airport,Southwest Airlines Co.,3331,26,1432,63,12885,17737
Los Angeles International Airport - Salt Lake City International Airport,Delta Air Lines Inc.,3093,0,1192,0,2448,6733
Los Angeles International Airport - Salt Lake City International Airport,Skywest Airlines Inc.,3214,113,1122,33,3236,7718
Los Angeles International Airport - Salt Lake City International Airport,Southwest Airlines Co.,1616,50,681,14,5093,7454
Los Angeles International Airport - San Antonio International Airport,American Airlines Inc.,1681,0,167,0,1304,3152
Los Angeles International Airport - San Antonio International Airport,Skywest Airlines Inc.,1780,82,96,0,1040,2998
Los Angeles International Airport - San Antonio International Airport,Southwest Airlines Co.,279,0,37,0,2082,2398
Los Angeles International Airport - San Diego International Airport (Lindbergh Field),American Eagle Airlines Inc.,4562,165,1363,0,2749,8839
Los Angeles International Airport - San Diego International Airport (Lindbergh Field),Skywest Airlines Inc.,12325,1170,979,0,2280,16754
Los Angeles International Airport - San Francisco International Airport,Alaska Airlines Inc.,378,0,1544,96,453,2471
Los Angeles International Airport - San Francisco International Airport,American Airlines Inc.,3251,93,11582,0,8826,23752
Los Angeles International Airport - San Francisco International Airport,Southwest Airlines Co.,3228,3140,12435,0,12095,30898
Los Angeles International Airport - San Francisco International Airport,United Air Lines Inc.,7834,397,21905,0,26051,56187
Los Angeles International Airport - San Luis Obispo County Regional Airport (McChesney Field),American Eagle Airlines Inc.,2660,194,369,0,930,4153
Los Angeles International Airport - San Luis Obispo County Regional Airport (McChesney Field),Skywest Airlines Inc.,3364,75,186,0,1545,5170
Los Angeles International Airport - Santa Barbara Municipal Airport (Santa Barbara Airport),American Eagle Airlines Inc.,1840,238,379,0,1374,3831
Los Angeles International Airport - Santa Barbara Municipal Airport (Santa Barbara Airport),Skywest Airlines Inc.,5157,457,419,0,1901,7934
Los Angeles International Airport - Santa Maria Public Airport (Capt G. Allan Hancock Field),Skywest Airlines Inc.,3313,292,257,0,1864,5726
Los Angeles International Airport - Seattle-Tacoma International Airport,Alaska Airlines Inc.,6388,0,2663,171,5151,14373
Los Angeles International Airport - Seattle-Tacoma International Airport,Skywest Airlines Inc.,406,0,36,0,104,546
Los Angeles International Airport - Seattle-Tacoma International Airport,United Air Lines Inc.,2288,23,1001,0,5466,8778
Los Angeles International Airport - St. George Regional Airport,Skywest Airlines Inc.,1527,0,55,0,1106,2688
Los Angeles International Airport - St. Louis International Airport at Lambert Field,American Airlines Inc.,2109,19,415,0,3338,5881
Los Angeles International Airport - St. Louis International Airport at Lambert Field,Southwest Airlines Co.,368,0,50,0,932,1350
Los Angeles International Airport - Tampa International Airport,Delta Air Lines Inc.,711,0,159,0,915,1785
Los Angeles International Airport - Ted Stevens Anchorage International Airport,Alaska Airlines Inc.,110,0,67,0,0,177
Los Angeles International Airport - Tucson International Airport,Skywest Airlines Inc.,3726,20,457,0,2646,6849
Los Angeles International Airport - Tucson International Airport,Southwest Airlines Co.,1181,0,441,66,7841,9529
Los Angeles International Airport - Tulsa International Airport,Skywest Airlines Inc.,15,0,0,0,0,15
Los Angeles International Airport - Washington Dulles International Airport,American Airlines Inc.,3785,46,737,38,2454,7060
Los Angeles International Airport - Washington Dulles International Airport,United Air Lines Inc.,7174,208,1616,0,8776,17774
Los Angeles International Airport - Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),Skywest Airlines Inc.,737,0,63,0,715,1515
Los Angeles International Airport - Will Rogers World Airport,Skywest Airlines Inc.,626,135,50,0,686,1497
Los Angeles International Airport - William P. Hobby Airport,Southwest Airlines Co.,1166,12,471,31,4298,5978
Los Angeles International Airport - Yuma International Airport,Skywest Airlines Inc.,1635,311,88,24,361,2419
Louis Armstrong New Orleans International Airport - Baltimore-Washington International Airport,Southwest Airlines Co.,159,172,36,0,171,538
Louis Armstrong New Orleans International Airport - Birmingham-Shuttlesworth International Airport,Southwest Airlines Co.,248,44,42,0,2273,2607
Louis Armstrong New Orleans International Airport - Charlotte Douglas International Airport,US Airways Inc.,1039,20,495,43,2723,4320
Louis Armstrong New Orleans International Airport - Chicago Midway International Airport,Southwest Airlines Co.,399,68,81,0,662,1210
Louis Armstrong New Orleans International Airport - Chicago O'Hare International Airport,American Airlines Inc.,537,53,6276,0,4938,11804
Louis Armstrong New Orleans International Airport - Chicago O'Hare International Airport,United Air Lines Inc.,2074,0,3155,0,1301,6530
Louis Armstrong New Orleans International Airport - Dallas Love Field,Southwest Airlines Co.,1982,775,1278,17,7444,11496
Louis Armstrong New Orleans International Airport - Dallas/Fort Worth International Airport,American Airlines Inc.,4663,185,3958,0,9594,18400
Louis Armstrong New Orleans International Airport - Denver International Airport,United Air Lines Inc.,1179,122,872,0,5326,7499
Louis Armstrong New Orleans International Airport - Fort Lauderdale-Hollywood International Airport,Southwest Airlines Co.,349,179,212,16,2409,3165
Louis Armstrong New Orleans International Airport - Gen. Edward Lawrence Logan International Airport,JetBlue Airways,16,0,26,0,118,160
Louis Armstrong New Orleans International Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,510,0,60,0,202,772
Louis Armstrong New Orleans International Airport - Hartsfield-Jackson Atlanta International Airport,Delta Air Lines Inc.,2873,204,3068,0,5794,11939
Louis Armstrong New Orleans International Airport - John F. Kennedy International Airport (New York International Airport),JetBlue Airways,1798,0,1370,0,2958,6126
Louis Armstrong New Orleans International Airport - LaGuardia Airport (Marine Air Terminal),American Airlines Inc.,248,2,1878,0,486,2614
Louis Armstrong New Orleans International Airport - LaGuardia Airport (Marine Air Terminal),Delta Air Lines Inc.,299,0,1194,0,1386,2879
Louis Armstrong New Orleans International Airport - Los Angeles International Airport,Delta Air Lines Inc.,116,20,223,0,639,998
Louis Armstrong New Orleans International Airport - Los Angeles International Airport,United Air Lines Inc.,1118,36,392,0,1261,2807
Louis Armstrong New Orleans International Airport - McCarran International Airport,Southwest Airlines Co.,648,298,571,6,1229,2752
Louis Armstrong New Orleans International Airport - Miami International Airport,American Airlines Inc.,1850,33,654,0,4548,7085
